"6/11: Tampa"," FL - 11am",,
"6/13: Portsmouth"," NH - 2:30pm",,
"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/830747067379232769",,
"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/830747067379232769",,
"7pm- Grand Rapids"," MI.",,
"7pm- https://t.co/sEwLWkn1Sz https://t.co/UODSMp0oTo""","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/761385317169496064",,
"7pm- https://t.co/sEwLWkn1Sz https://t.co/UODSMp0oTo""","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/761385317169496064",,
"7pm in PA: https://t.co/VmSLBvL43l""","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/759389559385952257",,
"7pm in PA: https://t.co/VmSLBvL43l""","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/759389559385952257",,
"....8 Dems totally control the U.S. Senate. Many great Republican bills will never pass, like Kate's Law and complete Healthcare. Get smart!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/891261878005092353",,
"....8 Dems totally control the U.S. Senate. Many great Republican bills will never pass, like Kate's Law and complete Healthcare. Get smart!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/891261878005092353",,
"A 60% increase in Texas Blue Cross/Blue Shield through ObamaCare. I told you so, there is panic and anger as healthcare costs explode!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/738494609597157376",,
"A 60% increase in Texas Blue Cross/Blue Shield through ObamaCare. I told you so, there is panic and anger as healthcare costs explode!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/738494609597157376",,
"A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/819962894616064001",,
"A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/819962894616064001",,
"A big day for New York and for our COUNTRY! MAKE AMERICA GREAT AGAIN!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/722397728475582465",,
"A big day for New York and for our COUNTRY! MAKE AMERICA GREAT AGAIN!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/722397728475582465",,
"about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/820725491812487170",,
"about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/820725491812487170",,
"...about then candidate Trump."" Catherine Herridge @FoxNews. So why doesn't Fake News report this? Witch Hunt! Purposely phony reporting.","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/890568797941362690",,
"...about then candidate Trump."" Catherine Herridge @FoxNews. So why doesn't Fake News report this? Witch Hunt! Purposely phony reporting.","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/890568797941362690",,
"About to begin a rally here in Henderson, Nevada. New Reuters poll just out- thank you! Join the MOVEMENT:… https://t.co/uvbntNsxGl","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/783741835420110848",,
"About to begin a rally here in Henderson, Nevada. New Reuters poll just out- thank you! Join the MOVEMENT:… https://t.co/uvbntNsxGl","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/783741835420110848",,
"A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/842403173742579714",,
"A budget that puts #AmericaFirst must make safety its no. 1 priority—without safety there can be no prosperity: https://t.co/9lxx1iQo7m","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/842403173742579714",,
".@AC360  Anderson, so amazing. Your mother is, and always has been, an incredible woman!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/726246693759496192",,
".@AC360  Anderson, so amazing. Your mother is, and always has been, an incredible woman!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/726246693759496192",,
"@AC360: “How can you unite a country if you’ve written off tens of millions of Americans?” #Deplorables #BigLeagueTruth #Debate","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/785304682960916480",,
"@AC360: “How can you unite a country if you’ve written off tens of millions of Americans?” #Deplorables #BigLeagueTruth #Debate","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/785304682960916480",,
"""A Call for Unity"" by Jason Greenblatt @JasonDovEsq https://t.co/dQi3Cydckp","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/733666112563519489",,
"""A Call for Unity"" by Jason Greenblatt @JasonDovEsq https://t.co/dQi3Cydckp","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/733666112563519489",,
"A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/780580825234415616",,
"A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/780580825234415616",,
"A country that Crooked Hillary says has funded ISIS also gave Wild Bill $1 million for his birthday? SO CORRUPT! https://t.co/00s5tgsXrM","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/787643017234636800",,
"A country that Crooked Hillary says has funded ISIS also gave Wild Bill $1 million for his birthday? SO CORRUPT! https://t.co/00s5tgsXrM","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/787643017234636800",,
"A detainee released from Gitmo has killed an American. When will our so-called ""leaders"" ever learn!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/714503667261562880",,
"A detainee released from Gitmo has killed an American. When will our so-called ""leaders"" ever learn!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/714503667261562880",,
"""@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/773375897554526208",,
"""@adhd_fa:Kudos to @PARISDENNARD for standing up to CNN's attempt to bully you and shout you down for defending @realDonaldTrump #media bias","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/773375897554526208",,
"Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace 
'Aetna will exit Obamacare markets in VA in 2018, citing expected losses on INDV plans this year'
""A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/822774162011910144",,
"A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/822774162011910144",,
"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/796897928048766976",,
"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/796897928048766976",,
"A former Secret Service Agent for President Clinton excoriates Crooked Hillary describing her as ERRATIC &amp; VIOLENT. Bad temperament for pres","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/739998110915678208",,
"A former Secret Service Agent for President Clinton excoriates Crooked Hillary describing her as ERRATIC &amp; VIOLENT. Bad temperament for pres","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/739998110915678208",,
"""After 14 years, U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture."" https://t.co/gDGgejqFMs","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/885232527656538113",,
"""After 14 years, U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture."" https://t.co/gDGgejqFMs","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/885232527656538113",,
"After 1 year of investigation with Zero evidence being found, Chuck Schumer just stated that ""Democrats should blame ourselves,not Russia.""","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/889438168721874944",,
"After 1 year of investigation with Zero evidence being found, Chuck Schumer just stated that ""Democrats should blame ourselves,not Russia.""","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/889438168721874944",,
"After 5 SB victories since 2002, it was my honor to give Bob Kraft, Coach Belichick, and the players their first to… https://t.co/UZPKjqoGZY","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/855626715707650048",,
"After 5 SB victories since 2002, it was my honor to give Bob Kraft, Coach Belichick, and the players their first to… https://t.co/UZPKjqoGZY","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/855626715707650048",,
"After 7 months of investigations &amp; committee hearings about my ""collusion with the Russians,""  nobody has been able to show any proof. Sad!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/875682853585129472",,
"After 7 months of investigations &amp; committee hearings about my ""collusion with the Russians,""  nobody has been able to show any proof. Sad!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/875682853585129472",,
"After all of these years of suffering thru ObamaCare, Republican Senators must come through as they have promised!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/885772727315030020",,
"After all of these years of suffering thru ObamaCare, Republican Senators must come through as they have promised!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/885772727315030020",,
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/827874208021639168",,
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/827874208021639168",,
"After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow......","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/890193981585444864",,
"After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow......","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/890193981585444864",,
"After Crooked @HillaryClinton allowed ISIS to rise, she now claims she'll defeat them? LAUGHABLE! Here's my plan: https://t.co/FzRMObNQVn","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/788929328696348674",,
"After Crooked @HillaryClinton allowed ISIS to rise, she now claims she'll defeat them? LAUGHABLE! Here's my plan: https://t.co/FzRMObNQVn","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/788929328696348674",,
"After decades of lies and scandal, Crooked Hillary's corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/793892802040041472",,
"After decades of lies and scandal, Crooked Hillary's corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/793892802040041472",,
"After Poland had a great meeting with Chancellor Merkel and then with PM Shinzō Abe of Japan &amp; President Moon of South Korea.","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/883220875444715520",,
"After Poland had a great meeting with Chancellor Merkel and then with PM Shinzō Abe of Japan &amp; President Moon of South Korea.","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/883220875444715520",,
"After raising, w/ no obligation, almost $6M for Vets, I couldn't believe protesters formed @ Trump Tower. JUST OUT- SENT BY CROOKED HILLARY!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/735267332927279107",,
"After raising, w/ no obligation, almost $6M for Vets, I couldn't believe protesters formed @ Trump Tower. JUST OUT- SENT BY CROOKED HILLARY!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/735267332927279107",,
"After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a great plan!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/845247455868391425",,
"After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a great plan!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/845247455868391425",,
"After seven years of ""talking"" Repeal &amp; Replace, the people of our great country are still being forced to live with imploding ObamaCare!","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/891332290474848257",,
"After seven years of ""talking"" Repeal &amp; Replace, the people of our great country are still being forced to live with imploding ObamaCare!","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/891332290474848257",,
"After the litigation is disposed of and the case won, I have instructed my execs to open Trump U(?), so much interest in it! I will be pres.","http://web.archive.org/*/https://twitter.com/realDonaldTrump/status/738415541203832832",,
"After the litigation is disposed of and the case won, I have instructed my execs to open Trump U(?), so much interest in it! I will be pres.","http://web.archive.org/*/http://twitter.com/realDonaldTrump/status/738415541203832832",,
