
 
"
08"
"25 years ago, states party to the Nuclear Non-proliferation Treaty acknowledged its enduring strength to prevent th… https://t.co/pYGUIDgvW4","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1259956184565637120"
"25 years ago, states party to the Nuclear Non-proliferation Treaty acknowledged its enduring strength to prevent th… https://t.co/pYGUIDgvW4","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1259956184565637120"
"(2 of 2) JK: our challenge is to create the conditions under which a clear, broadly acceptable alternative can emerge.  #KerryUSIP","http://web.archive.org/*/https://twitter.com/statedeptspox/status/664891293479342080"
"(2 of 2) JK: our challenge is to create the conditions under which a clear, broadly acceptable alternative can emerge.  #KerryUSIP","http://web.archive.org/*/http://twitter.com/statedeptspox/status/664891293479342080"
"35 years ago, a #Hizballah terrorist attacked @usembassybeirut, killing 63 people. As we honor and remember the vic… https://t.co/A67O7fdgnW","http://web.archive.org/*/https://twitter.com/statedeptspox/status/986647748744302592"
"35 years ago, a #Hizballah terrorist attacked @usembassybeirut, killing 63 people. As we honor and remember the vic… https://t.co/A67O7fdgnW","http://web.archive.org/*/http://twitter.com/statedeptspox/status/986647748744302592"
"40 years ago, the Iranian regime tortured and executed Jewish community leader Albert Danielpour. They made up seve… https://t.co/KUZfxUPnE8","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1269586321208741890"
"40 years ago, the Iranian regime tortured and executed Jewish community leader Albert Danielpour. They made up seve… https://t.co/KUZfxUPnE8","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1269586321208741890"
"40 years ago today, Ayatollah Khomeini’s thugs took over the U.S. Embassy in Tehran. Over 50 U.S. diplomats were ta… https://t.co/ekJCzXbvqw","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1191470623631052801"
"40 years ago today, Ayatollah Khomeini’s thugs took over the U.S. Embassy in Tehran. Over 50 U.S. diplomats were ta… https://t.co/ekJCzXbvqw","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1191470623631052801"
"42 Kenyan investigators began counterterrorism training this week at the FBI Academy in Quantico. The @FBI and… https://t.co/A3qoBCxz4R","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1227273796081549313"
"42 Kenyan investigators began counterterrorism training this week at the FBI Academy in Quantico. The @FBI and… https://t.co/A3qoBCxz4R","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1227273796081549313"
464"
"#5G technology will deliver a digital revolution that will lift up people across the globe. As the @EU_Commission a… https://t.co/yc3hOqIp27","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1199347288927166465"
"#5G technology will deliver a digital revolution that will lift up people across the globe. As the @EU_Commission a… https://t.co/yc3hOqIp27","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1199347288927166465"
792"
"7th US-China S+ED began in DC today. @JohnKerry &amp; @USTreasury Secretary Lew host Chinese counterparts at @MountVernon tonight.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/613086112844771328"
"7th US-China S+ED began in DC today. @JohnKerry &amp; @USTreasury Secretary Lew host Chinese counterparts at @MountVernon tonight.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/613086112844771328"
"800 days of wrongful detention for the #CITGO6 by the illegitimate Maduro regime in #Venezuela. Eighteen hearings c… https://t.co/TFwD4hKvel","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1222625980012847104"
"800 days of wrongful detention for the #CITGO6 by the illegitimate Maduro regime in #Venezuela. Eighteen hearings c… https://t.co/TFwD4hKvel","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1222625980012847104"
"@aarondmiller2 No travel to Israel in works &amp; no plan by Sec'y Kerry to restart talks. Need both sides to take steps to reduce violence.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/696095607300169733"
"@aarondmiller2 No travel to Israel in works &amp; no plan by Sec'y Kerry to restart talks. Need both sides to take steps to reduce violence.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/696095607300169733"
"A big congrats to the crew of the first #AllWomanSpaceWalk! @Astro_Christina, @Astro_Jessica, you are stellar! You… https://t.co/q5l1tMgWRo","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1185300676609478658"
"A big congrats to the crew of the first #AllWomanSpaceWalk! @Astro_Christina, @Astro_Jessica, you are stellar! You… https://t.co/q5l1tMgWRo","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1185300676609478658"
". @ABlinken: ""Anti-Semitism is a fundamental threat to democracies and open societies in every corner of the globe."" #GloFo","http://web.archive.org/*/https://twitter.com/statedeptspox/status/607951543904681984"
". @ABlinken: ""Anti-Semitism is a fundamental threat to democracies and open societies in every corner of the globe."" #GloFo","http://web.archive.org/*/http://twitter.com/statedeptspox/status/607951543904681984"
". @ABlinken: ""For 65yrs - since #Israel's founding - US has backed staunch, unshakable commitment to #Israel.""#GloFo","http://web.archive.org/*/https://twitter.com/statedeptspox/status/607951211254398976"
". @ABlinken: ""For 65yrs - since #Israel's founding - US has backed staunch, unshakable commitment to #Israel.""#GloFo","http://web.archive.org/*/http://twitter.com/statedeptspox/status/607951211254398976"
". @ABlinken: On #Iran - ""deal would not expire - diff requirements of deal would have diff durations."" #GloFo #IranTalks","http://web.archive.org/*/https://twitter.com/statedeptspox/status/607951979462164481"
". @ABlinken: On #Iran - ""deal would not expire - diff requirements of deal would have diff durations."" #GloFo #IranTalks","http://web.archive.org/*/http://twitter.com/statedeptspox/status/607951979462164481"
". @ABlinken: On #Iran - ""would not agree to deal unless IAEA is granted access to whatever sites are required to verify peaceful program.""","http://web.archive.org/*/https://twitter.com/statedeptspox/status/607952850518450177"
". @ABlinken: On #Iran - ""would not agree to deal unless IAEA is granted access to whatever sites are required to verify peaceful program.""","http://web.archive.org/*/http://twitter.com/statedeptspox/status/607952850518450177"
". @ABlinken: On #Iran - ""would provide extensive levels of transparency that if #Iran fails to comply, intl comm will know about it."" #GloFo","http://web.archive.org/*/https://twitter.com/statedeptspox/status/607952312213061632"
