"I look forward to working with @realDonaldTrump to restore fair trade &amp; stand up for USA jobs if confirmed as Secretary of Commerce.","http://web.archive.org/*/http://twitter.com/WilburRoss/status/816290296048873472"
"I look forward to working with @realDonaldTrump to restore fair trade &amp; stand up for USA jobs if confirmed as Secretary of Commerce.","http://web.archive.org/*/https://twitter.com/WilburRoss/status/816290296048873472"
