"user ID","username","ISO date","text date","DropBox index","GitHub index","IA search","description"
"826065858548133888","SecElaineChao","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/d5uwvqku0dcjwjn/archive_SecElaineChao.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecElaineChao.csv","http://web.archive.org/web/*/https://twitter.com/SecElaineChao/","Secretary of Transportation"
"822127086194348032","SecondLady","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/uiq1dxcqo22mzjf/archive_SecondLady.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecondLady.csv","http://web.archive.org/web/*/https://twitter.com/SecondLady","Second Lady Karen Pence"
"829782369670410240","SecPriceMD","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/d3d65zmoiy940vg/archive_SecPriceMD.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_RealBenCarson.csv","http://web.archive.org/web/*/https://twitter.com/SecPriceMD","Dr Thomas Price, Secretary of Health and Human Services"
"819980276570976256","SecretaryAcosta","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/rkbfb65cof9icx0/archive_SecretaryAcosta.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecretaryAcosta.csv","http://web.archive.org/web/*/https://twitter.com/SecretaryAcosta","Labor Secretary Alexander Acosta"
"828613457020870657","SecretaryCarson","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/phil2ma5zl5bsam/archive_SecretaryCarson.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecretaryCarson.csv","http://web.archive.org/web/*/https://twitter.com/SecretaryCarson","HUD Secretary Ben Carson"
"836305915452272641","SecretaryRoss","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/dilj5z7a341ytjq/archive_SecretaryRoss.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecretaryRoss.csv","http://web.archive.org/web/*/https://twitter.com/SecretaryRoss","Wilbur Ross, Secretary of Commerce"
"842072478834909184","SecretarySonny","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/r1kaz1e0u7lspdg/archive_SecretarySonny.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecretarySonny.csv","http://web.archive.org/web/*/https://twitter.com/SecretarySonny","Sonny Purdue, Secretary of USDA"
"827258161841135623","SecretaryZinke","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/3a6zvbc9i7sa0vr/archive_SecretaryZinke.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecretaryZinke.csv","http://web.archive.org/web/*/https://twitter.com/SecretaryZinke","Ryan Zinke, Secretary of Interior"
"823638938590085124","StephGrisham45","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/5fzkce0sr1xogtj/archive_StephGrisham45.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_StephGrisham45.csv","http://web.archive.org/web/*/https://twitter.com/StephGrisham45","Stephanie Grisham, Press Secretary & Deputy Director of Communications for Melania Trump"
"866746592853979137","TomBossert45","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/2csbvbxyrjnpm6t/archive_TomBossert45.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_TomBossert45.csv","http://web.archive.org/web/*/https://twitter.com/TomBossert45","Thomas Bossert, Homeland Security Adviser"
"809836066316451840","WilburRoss","2017-06-22","22 Jun 2017","https://www.dropbox.com/s/hd3yvjq9zksnhoo/archive_WilburRoss.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_WilburRoss.csv","http://web.archive.org/web/*/https://twitter.com/WilburRoss","Wilbur Ross, Secretary of Commerce"
"24578794","Scaramucci","2017-07-29","29 Jul 2017","https://www.dropbox.com/s/tg14nu604helpri/archive_Scaramucci.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_Scaramucci.csv","https://web.archive.org/web/*/http://twitter.com/Scaramucci","Anthony Scaramucci, who spent ten golden glorious perfect days as White House Director-of-Communications"
"799764016885329921","stevenmnuchin1","2017-08-18","18 Aug 2017","https://www.dropbox.com/s/k8uestc8pirurm4/archive_stevenmnuchin1.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_stevenmnuchin1.csv","https://web.archive.org/web/*/https://twitter.com/stevenmnuchin1/","Treasury Secretary"
"599530439","BetsyDeVos","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/zd0zd4kjtu0uoae/archive_BetsyDeVos.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_BetsyDeVos.csv","https://web.archive.org/web/*/https://twitter.com/BetsyDeVos","(apparently personal) account for the secretary of education"
"828997388920619008","BetsyDeVosED","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/3feqd6zsy9xmjia/archive_BetsyDeVosED.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_BetsyDeVosED.csv","https://web.archive.org/web/*/https://twitter.com/BetsyDeVosED","secretary of education"
"892173412818354177","GeneralJFKellly","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/yzsya5pa4b1jwaz/archive_GeneralJFKellly.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_GeneralJFKellly.csv","https://web.archive.org/web/*/https://twitter.com/GeneralJFKellly","White House Chief of Staff"
"18906561","GovernorPerry","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/7tq3vwmyfq70upo/archive_GovernorPerry.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_GovernorPerry.csv","https://web.archive.org/web/*/https://twitter.com/GovernorPerry","Rick Perry's account left over from when he was governor of Texas"
"65522706","Linda_McMahon","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/4s1owgqa1u3xcba/archive_Linda_McMahon.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_Linda_McMahon.csv","https://web.archive.org/web/*/https://twitter.com/Linda_McMahon","Personal account for the SBA administrator"
"888031054141022209","MickMulvaneyOMB","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/yq5mjznfdvpfi8w/archive_MickMulvaneyOMB.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_MickMulvaneyOMB.csv","https://web.archive.org/web/*/https://twitter.com/MickMulvaneyOMB/*","Director of the Office of Management and Budget"
"37666984","nikkihaley","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/d7jf8arif01wqdi/archive_nikkihaley.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_nikkihaley.csv","https://web.archive.org/web/*/https://twitter.com/nikkihaley","US Ambassador to the United Nations"
"819992522109894658","SBALinda","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/uokgo37uf8811bt/archive_SBALinda.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SBALinda.csv","https://web.archive.org/web/*/https://twitter.com/SBALinda","Administrator of the Small Business Administration"
"830128820447539208","SecretaryPerry","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/ra7oq4f7sjvlxib/archive_SecretaryPerry.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecretaryPerry.csv","https://web.archive.org/web/*/https://twitter.com/SecretaryPerry","Rick Perry, Secretary of Energy"
"831482588246196225","SecShulkin","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/5v9dgq87s4z0a4r/archive_SecShulkin.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SecShulkin.csv","https://web.archive.org/web/*/https://twitter.com/SecShulkin","Secretary of Veterans Affairs"
"212262370","SenDanCoats","2017-09-11","11 Sept 2017","https://www.dropbox.com/s/8hxfcqyb538dn22/archive_SenDanCoats.csv?dl=0","https://github.com/patrick-brian-mooney/archive-junta/blob/master/data/archive_SenDanCoats.csv","https://web.archive.org/web/*/https://twitter.com/SenDanCoats","Director of National Intelligence"
